step	train_loss	val_loss	interval_s	total_s	avg_step_s
10	4	3.95312	1.73588	1.73588	0.173588
20	3.82812	3.9375	1.13662	2.87249	0.143625
30	3.84375	3.95312	1.14183	4.01432	0.133811
40	3.75	3.875	1.12262	5.13694	0.128424
50	3.8125	3.90625	1.13018	6.26712	0.125342
60	3.78125	3.92188	1.1363	7.40342	0.12339
70	3.82812	3.9375	1.177	8.58043	0.122578
80	3.75	3.9375	1.12696	9.70739	0.121342
90	3.6875	3.98438	1.15908	10.8665	0.120739
100	3.73438	4.03125	1.17927	12.0457	0.120457
110	3.67188	4.0625	1.15072	13.1965	0.119968
120	3.70312	3.96875	1.13657	14.333	0.119442
130	3.70312	4.125	1.12289	15.4559	0.118892
140	3.65625	4.21875	1.14482	16.6007	0.118577
150	3.54688	4.21875	1.12445	17.7252	0.118168
160	3.64062	4.28125	1.13012	18.8553	0.117846
170	3.5	4.375	1.13929	19.9946	0.117615
180	3.375	4.34375	1.13949	21.1341	0.117412
190	3.40625	4.59375	1.12928	22.2634	0.117176
200	3.23438	4.5	1.14594	23.4093	0.117047
