idx	op	type	inputs	input_shapes	input_origins	input_dtypes	input_names	output	output_shape	output_origin	output_dtype	output_name	opts
0	add	binary	/home/howard/ttnn-perf/tensordiffgrad/outputs/oplog_torch/0000_add_in0.bin,/home/howard/ttnn-perf/tensordiffgrad/outputs/oplog_torch/0000_add_in1.bin	32x32,32x32	torch,torch	bf16,bf16		/home/howard/ttnn-perf/tensordiffgrad/outputs/oplog_torch/0000_add_out.bin	32x32	torch	bf16		
1	sub	binary	/home/howard/ttnn-perf/tensordiffgrad/outputs/oplog_torch/0001_sub_in0.bin,/home/howard/ttnn-perf/tensordiffgrad/outputs/oplog_torch/0001_sub_in1.bin	32x32,32x32	torch,torch	bf16,bf16		/home/howard/ttnn-perf/tensordiffgrad/outputs/oplog_torch/0001_sub_out.bin	32x32	torch	bf16		
2	mm	binary	/home/howard/ttnn-perf/tensordiffgrad/outputs/oplog_torch/0002_mm_in0.bin,/home/howard/ttnn-perf/tensordiffgrad/outputs/oplog_torch/0002_mm_in1.bin	32x32,32x32	torch,torch	bf16,bf16		/home/howard/ttnn-perf/tensordiffgrad/outputs/oplog_torch/0002_mm_out.bin	32x32	torch	bf16		
