step	tok_plus_pos_l2	tok_plus_pos_l1	layer0_ln1_l2	layer0_ln1_l1	layer0_attn_out_l2	layer0_attn_out_l1	layer0_ln2_l2	layer0_ln2_l1	layer0_ffn_w2_l2	layer0_ffn_w2_l1	layer0_output_l2	layer0_output_l1	layer1_ln1_l2	layer1_ln1_l1	layer1_attn_out_l2	layer1_attn_out_l1	layer1_ln2_l2	layer1_ln2_l1	layer1_ffn_w2_l2	layer1_ffn_w2_l1	layer1_output_l2	layer1_output_l1	logits_l2	logits_l1
95	1458.05	1.22594e+06	1017.61	856357	1915.67	1.53832e+06	1015.64	822303	2904.15	2.19339e+06	3965.17	3.09847e+06	1024.58	829076	1410.26	1.08518e+06	1016.18	838719	2646.91	2.08144e+06	5952.73	4.75028e+06	1185.45	635945
96	1458.29	1.22615e+06	1017.44	856223	1910.02	1.53445e+06	1015.62	822560	2912.82	2.19733e+06	3952.01	3.08401e+06	1024.31	829116	1399.19	1.08155e+06	1015.64	836684	2594.96	2.03989e+06	5895.98	4.69186e+06	1190.94	639381
97	1457.44	1.2252e+06	1017.46	856068	1912.38	1.53466e+06	1015.48	822887	2915.78	2.19746e+06	3953.57	3.08631e+06	1024.67	830298	1391.59	1.07515e+06	1015.39	836933	2574.81	2.02338e+06	5878.18	4.67858e+06	1195.16	641674
98	1458.16	1.22604e+06	1017.8	856554	1906.76	1.53196e+06	1015.09	822235	2875.79	2.1735e+06	3912.5	3.05894e+06	1025.07	830720	1411.65	1.09272e+06	1015.49	837485	2594.17	2.04073e+06	5846.04	4.65722e+06	1188.78	637033
99	1458.15	1.22581e+06	1018.04	856605	1906.49	1.53168e+06	1014.81	822237	2858.6	2.16493e+06	3885.4	3.04138e+06	1024.7	831122	1424.44	1.10291e+06	1014.89	836331	2588.41	2.0369e+06	5801.09	4.62238e+06	1182.91	634827
100	1458.16	1.22603e+06	1017.62	856345	1904.51	1.53133e+06	1014.87	822220	2817.27	2.13803e+06	3849.91	3.02007e+06	1025.36	832714	1437.89	1.11759e+06	1014.94	836492	2605.34	2.05062e+06	5765.51	4.59938e+06	1172.09	628343
101	1458.5	1.22629e+06	1017.69	856419	1917	1.54031e+06	1014.56	822533	2775.55	2.11398e+06	3811.59	2.99958e+06	1025.63	834321	1450.77	1.13235e+06	1014.8	837041	2575.99	2.02755e+06	5701.07	4.55922e+06	1164.1	622585
102	1458.24	1.22596e+06	1016.95	855701	1912	1.53636e+06	1014.27	822325	2753.27	2.10141e+06	3787.14	2.98425e+06	1025.42	835325	1461.48	1.14657e+06	1014.71	837438	2573.95	2.02631e+06	5670.48	4.54009e+06	1157.17	617426
103	1457.76	1.22552e+06	1017.12	855847	1911.41	1.53738e+06	1014.11	822464	2710.7	2.0782e+06	3738.09	2.95285e+06	1025.17	836342	1482.5	1.16793e+06	1014.72	837849	2574.19	2.02345e+06	5599.68	4.49271e+06	1142.98	607861
104	1458.2	1.22583e+06	1017.16	855837	1904.04	1.52998e+06	1014.05	822898	2710.59	2.08482e+06	3730.23	2.95144e+06	1025.68	837933	1495.45	1.17949e+06	1014.54	837498	2593.86	2.04271e+06	5612.08	4.50455e+06	1139.92	605897
105	1458.43	1.22617e+06	1017.23	856036	1903.99	1.52867e+06	1014.05	822670	2711.25	2.09237e+06	3708.32	2.93471e+06	1026.05	838282	1494.93	1.17877e+06	1014.35	837677	2595.07	2.04518e+06	5581.49	4.48086e+06	1138	604851
106	1458.51	1.22611e+06	1017.16	855919	1898.51	1.52438e+06	1014.42	822948	2702.78	2.0917e+06	3678.39	2.91364e+06	1026.15	838429	1500.46	1.18434e+06	1014.34	837749	2602.49	2.05324e+06	5552.76	4.45847e+06	1133.79	602232
107	1458	1.22555e+06	1017.17	855742	1899.73	1.52528e+06	1014.1	822488	2696.74	2.08891e+06	3667.84	2.90485e+06	1026.99	839140	1498.45	1.1842e+06	1014.25	837695	2581.23	2.03451e+06	5524.88	4.43598e+06	1135.13	602130
108	1458.29	1.22567e+06	1016.84	855474	1906.03	1.53051e+06	1013.85	822329	2683.39	2.07984e+06	3644.39	2.88626e+06	1027.34	839272	1502.41	1.18979e+06	1014.24	837408	2553.78	2.01177e+06	5463.43	4.39082e+06	1139.25	603401
109	1458.52	1.226e+06	1016.75	855543	1896.04	1.5228e+06	1014.15	822417	2683.79	2.07933e+06	3638.04	2.88006e+06	1027.98	840246	1499.75	1.19116e+06	1014.21	836910	2544.24	2.00089e+06	5434.89	4.36636e+06	1141.05	604306
110	1458.64	1.22617e+06	1017.34	856114	1907.08	1.52993e+06	1014.55	822121	2661.4	2.06752e+06	3620.07	2.86829e+06	1028.44	840502	1508.48	1.19831e+06	1014.56	838416	2532.21	1.99139e+06	5405.91	4.35267e+06	1136.77	602269
111	1459.01	1.22633e+06	1017.93	856567	1907.14	1.53104e+06	1013.62	821268	2632.07	2.04847e+06	3598.15	2.8534e+06	1028.46	840372	1514.88	1.20613e+06	1014.45	839165	2533.45	1.99498e+06	5378.39	4.33738e+06	1135.47	600647
112	1459.3	1.22655e+06	1017.62	856192	1893.54	1.52027e+06	1014.03	822109	2624.81	2.04545e+06	3580.42	2.84137e+06	1029.1	840762	1531.69	1.22165e+06	1014.67	840747	2562.21	2.02147e+06	5379.63	4.34694e+06	1131.32	599722
113	1459.25	1.22664e+06	1017.58	856273	1894.04	1.52049e+06	1014.03	821731	2632.21	2.05244e+06	3571.24	2.83144e+06	1029.09	839808	1528.55	1.21664e+06	1014.82	840358	2584.89	2.04286e+06	5392.46	4.3563e+06	1137.34	604941
114	1459.51	1.22695e+06	1017.77	856394	1892.19	1.51867e+06	1013.79	821491	2649.76	2.06408e+06	3564.36	2.82183e+06	1030.2	840122	1523.72	1.21238e+06	1015.01	839793	2577.18	2.03823e+06	5378.93	4.34107e+06	1141.57	608248
115	1459.6	1.22685e+06	1017.62	856201	1902.04	1.52474e+06	1013.36	820715	2673.14	2.08037e+06	3562.62	2.81767e+06	1029.96	839757	1516.46	1.20682e+06	1014.75	838315	2534.21	2.00677e+06	5361.3	4.3235e+06	1150.42	613340
116	1458.87	1.22627e+06	1017.34	855963	1891.06	1.51531e+06	1013.7	821141	2683.18	2.08799e+06	3546.7	2.80195e+06	1029.9	839124	1504.67	1.19933e+06	1015.16	837868	2537.68	2.00863e+06	5347.17	4.30684e+06	1147.51	613098
117	1458.63	1.2261e+06	1017.52	856065	1883.93	1.51073e+06	1013.44	820951	2667.95	2.07816e+06	3521.37	2.7822e+06	1030.29	839866	1496.35	1.19574e+06	1014.95	839005	2534.88	2.00815e+06	5318.58	4.28754e+06	1137.26	606624
118	1459.39	1.22681e+06	1017.61	856194	1882.72	1.51106e+06	1013.39	820767	2666.25	2.0778e+06	3510.07	2.77449e+06	1030.65	840311	1484.14	1.18796e+06	1015.04	839442	2534.39	2.00928e+06	5322.57	4.2943e+06	1135.61	605399
119	1458.64	1.22582e+06	1017.34	855783	1879.22	1.50778e+06	1014.01	820992	2659.35	2.07473e+06	3492.44	2.75888e+06	1031.49	840911	1473.75	1.18012e+06	1014.96	839696	2548.69	2.01859e+06	5288.45	4.26487e+06	1129.24	601862
120	1459.16	1.22621e+06	1017.58	855968	1880.6	1.50851e+06	1013.82	820966	2663.78	2.07949e+06	3490.58	2.75797e+06	1032.39	841638	1469.5	1.17685e+06	1014.82	839631	2530.04	2.00386e+06	5279.63	4.26162e+06	1129.23	600254
121	1459.35	1.2266e+06	1017.8	856318	1880.69	1.50841e+06	1013.5	820383	2671.09	2.08605e+06	3492.21	2.75813e+06	1031.64	840926	1460.04	1.17054e+06	1014.87	839930	2523.46	1.99818e+06	5277.25	4.25814e+06	1129.94	599664
122	1460.12	1.22725e+06	1017.97	856376	1881.85	1.50926e+06	1013.82	820798	2660.82	2.08193e+06	3483.19	2.75534e+06	1032.43	841763	1472.69	1.18121e+06	1014.97	840567	2528.56	1.99987e+06	5259.67	4.24962e+06	1125.58	595237
123	1459.48	1.2265e+06	1018.21	856497	1881.9	1.5097e+06	1013.65	820397	2660.97	2.08473e+06	3471.84	2.74753e+06	1032.83	842296	1471.37	1.18223e+06	1014.86	840827	2543.63	2.01175e+06	5247.62	4.24364e+06	1125.28	593427
124	1460.05	1.22713e+06	1017.9	856338	1879.76	1.50709e+06	1013.67	820495	2665.29	2.09246e+06	3470.69	2.74826e+06	1033.66	842580	1478.42	1.18698e+06	1014.98	841150	2573.74	2.03597e+06	5250.85	4.24894e+06	1123.41	591496
125	1459.29	1.22646e+06	1017.59	856080	1884.96	1.51072e+06	1013.72	820472	2665.45	2.09317e+06	3465.17	2.74621e+06	1034.4	843582	1477.63	1.18609e+06	1014.7	841470	2577.79	2.04253e+06	5243.6	4.24781e+06	1118.72	588224
126	1459.15	1.22607e+06	1017.65	855923	1873.22	1.50304e+06	1013.79	820253	2685.74	2.11373e+06	3478.65	2.75918e+06	1035.1	844660	1487.71	1.19658e+06	1014.64	841026	2594.06	2.05749e+06	5270.58	4.26862e+06	1118.72	588298
127	1459.64	1.22672e+06	1017.57	856055	1868.27	1.49881e+06	1013.23	820074	2688.86	2.11948e+06	3468.48	2.75636e+06	1035.09	845552	1505.3	1.21083e+06	1014.46	841472	2615.92	2.07483e+06	5301.02	4.29915e+06	1114.05	584386
128	1459.93	1.22723e+06	1017.42	856125	1865.73	1.49712e+06	1013.28	820268	2673.16	2.10963e+06	3457.3	2.75571e+06	1034.81	846630	1532.77	1.235e+06	1014.78	841915	2646.05	2.09963e+06	5314.29	4.3153e+06	1100.37	577151
129	1460.07	1.22714e+06	1017.11	855852	1868.88	1.49907e+06	1013.34	820372	2674.16	2.1035e+06	3459.03	2.75002e+06	1034.94	845864	1529.03	1.24202e+06	1014.39	840321	2547.33	2.0113e+06	5260.96	4.26782e+06	1114.56	583721
130	1460.08	1.22694e+06	1017.05	855681	1861	1.49204e+06	1013.49	821132	2665.07	2.09392e+06	3458.96	2.75156e+06	1035.2	847186	1548.17	1.26551e+06	1014.25	839779	2499.05	1.96552e+06	5207.11	4.22416e+06	1114.26	583511
131	1459.63	1.22643e+06	1017.28	855768	1868.68	1.49912e+06	1012.74	820747	2616.91	2.05754e+06	3435.13	2.7402e+06	1036.17	848752	1594.3	1.30677e+06	1014.72	841120	2526.61	1.98424e+06	5220.53	4.25222e+06	1091.77	571560
132	1461.02	1.22774e+06	1017.73	856235	1877.7	1.50682e+06	1013.27	821649	2575.44	2.02952e+06	3422.18	2.74102e+06	1035.83	849596	1643.27	1.34619e+06	1015.06	843251	2616.6	2.05408e+06	5313.75	4.34892e+06	1071.93	560935
133	1460	1.22683e+06	1017.56	856074	1875.12	1.50542e+06	1013.19	822465	2542.28	2.00862e+06	3418.3	2.74875e+06	1037.16	852142	1688.79	1.382e+06	1015.09	846312	2727.62	2.14459e+06	5430.04	4.4684e+06	1062.7	555832
134	1459.6	1.22655e+06	1017.27	855894	1868.59	1.49976e+06	1013.13	822752	2530.77	2.00129e+06	3417.12	2.75172e+06	1036.8	852664	1684.3	1.37483e+06	1015.01	847132	2779.77	2.18557e+06	5459.74	4.50149e+06	1061.13	555803
135	1459.99	1.22664e+06	1017.79	856152	1868.89	1.50038e+06	1012.84	823105	2532.45	2.00316e+06	3414.95	2.75113e+06	1036.61	852626	1671.32	1.3632e+06	1014.98	847084	2785.08	2.18928e+06	5457.95	4.49982e+06	1065.98	559203
136	1460.14	1.227e+06	1017.76	856275	1869.1	1.50265e+06	1013.47	823252	2527.15	1.9974e+06	3402.52	2.74042e+06	1036.83	852890	1652.71	1.34849e+06	1015.1	846093	2755.97	2.15946e+06	5413.01	4.45671e+06	1076.67	564149
137	1460.46	1.22728e+06	1017.91	856460	1863.21	1.49697e+06	1013.42	823269	2536.76	2.00371e+06	3402.32	2.73704e+06	1037.16	853033	1619.93	1.32115e+06	1014.77	843595	2674.91	2.08906e+06	5328.93	4.37458e+06	1093.39	572991
138	1460.32	1.22696e+06	1017.63	856120	1857.43	1.49111e+06	1012.86	823036	2540.27	2.00786e+06	3393.48	2.72831e+06	1036.54	852667	1592.24	1.30101e+06	1014.66	842095	2613.03	2.03408e+06	5248.95	4.2995e+06	1103.14	578658
139	1460.24	1.22703e+06	1017.64	856250	1860.47	1.49482e+06	1013.01	823068	2528.49	2.00234e+06	3388.84	2.72614e+06	1037.27	853003	1581.52	1.2943e+06	1014.72	841715	2578.91	2.00525e+06	5218.47	4.27873e+06	1112.18	583602
140	1460.19	1.22676e+06	1017.54	856012	1860.26	1.49357e+06	1013.29	823266	2536.1	2.01197e+06	3398.8	2.73686e+06	1037.42	853061	1582.39	1.29221e+06	1014.95	842462	2605.29	2.0223e+06	5244.28	4.30097e+06	1112.3	585561
141	1460.66	1.2273e+06	1017.48	856067	1862.84	1.49586e+06	1013.1	823217	2526.99	2.0091e+06	3397.75	2.73912e+06	1037.83	853235	1603.2	1.31045e+06	1015.15	843593	2667.64	2.06987e+06	5291.3	4.34529e+06	1106.46	585265
142	1460.37	1.22701e+06	1017.49	856053	1866.18	1.49815e+06	1013.4	822956	2525.86	2.01468e+06	3396.36	2.74384e+06	1039.12	854560	1621.4	1.3243e+06	1015.17	844805	2731.75	2.12396e+06	5339.31	4.39398e+06	1107.95	589289
143	1461.12	1.22793e+06	1017.5	856283	1859.38	1.49369e+06	1012.88	822547	2526.91	2.02108e+06	3390.33	2.74141e+06	1039	854719	1629.37	1.32811e+06	1015.3	845620	2789.69	2.17254e+06	5362.32	4.40867e+06	1104.31	589947
144	1460.91	1.22742e+06	1017.55	856162	1862.54	1.49541e+06	1012.8	822171	2559.47	2.04669e+06	3412.27	2.7564e+06	1038.84	854337	1624.97	1.32354e+06	1014.96	844650	2779.35	2.16409e+06	5379.84	4.414e+06	1113.31	596042
145	1460.96	1.22747e+06	1017.52	856127	1856.31	1.48845e+06	1012.59	821690	2589.25	2.07032e+06	3433.55	2.76886e+06	1038.7	853525	1604.84	1.30934e+06	1014.85	843250	2718.55	2.11099e+06	5329.36	4.3566e+06	1127.55	606971
146	1461.59	1.22799e+06	1017.32	855954	1861	1.49049e+06	1012.31	820958	2622.47	2.09663e+06	3451.29	2.77956e+06	1038.98	853218	1580.21	1.2914e+06	1014.88	842408	2645.65	2.05163e+06	5278.88	4.301e+06	1150.42	621175
147	1461.45	1.22804e+06	1016.85	855726	1849.89	1.48157e+06	1012.23	820576	2632.26	2.10743e+06	3453.16	2.77931e+06	1039.62	854036	1567.52	1.28177e+06	1014.5	842146	2604.85	2.01696e+06	5239.46	4.26208e+06	1165.15	629608
148	1460.69	1.22697e+06	1016.85	855402	1851.73	1.48319e+06	1011.59	820352	2640.98	2.11537e+06	3457.5	2.78239e+06	1040.79	854577	1533.26	1.25272e+06	1014.64	842033	2568.41	1.99052e+06	5230.49	4.2504e+06	1186.82	640765
149	1461.17	1.22747e+06	1017.34	855823	1854.58	1.48504e+06	1011.65	820637	2634.22	2.11341e+06	3449.44	2.77714e+06	1041.34	854705	1538.99	1.25496e+06	1014.52	842420	2576.03	1.99643e+06	5257.64	4.27481e+06	1188.48	641572
150	1461.37	1.22784e+06	1017.47	856063	1858.97	1.48804e+06	1011.73	820528	2607.68	2.09561e+06	3415.03	2.75118e+06	1041.24	854446	1547.04	1.26147e+06	1014.78	842468	2614.11	2.02576e+06	5261.18	4.27649e+06	1172.61	635273
151	1461.2	1.22748e+06	1017.54	855968	1847.95	1.47948e+06	1011.35	820798	2588.5	2.08256e+06	3396.89	2.73934e+06	1041.81	854909	1555.48	1.26618e+06	1015.01	843958	2656.29	2.0604e+06	5316.05	4.3283e+06	1158	630273
152	1461.14	1.22735e+06	1017.63	855947	1848.44	1.47962e+06	1011.84	821403	2570.67	2.06771e+06	3370.2	2.72079e+06	1042.12	855711	1569.76	1.27798e+06	1015.16	844501	2694.51	2.08524e+06	5318.83	4.33683e+06	1131.28	616741
153	1461.83	1.22802e+06	1017.68	856072	1858.57	1.48688e+06	1011.35	822143	2543.27	2.04492e+06	3346.84	2.70446e+06	1042.05	855891	1573.41	1.27872e+06	1015.1	844684	2713.57	2.0906e+06	5312.82	4.34045e+06	1117.84	609613
154	1461.73	1.22798e+06	1018.11	856421	1855.56	1.48519e+06	1011.49	822578	2527.01	2.0306e+06	3332.59	2.69254e+06	1042.02	855932	1604.13	1.30505e+06	1015.28	844807	2736.7	2.09547e+06	5351.02	4.37857e+06	1099.2	601388
155	1461.78	1.228e+06	1018.52	856727	1859.09	1.48694e+06	1011.89	822849	2518.28	2.02272e+06	3322.86	2.68518e+06	1042.09	856045	1588.79	1.29257e+06	1015.01	843826	2705.12	2.0642e+06	5329.59	4.36458e+06	1096.03	599619
156	1461.85	1.22821e+06	1018.67	856925	1856.67	1.48649e+06	1011.71	823428	2500.1	2.00849e+06	3300.36	2.66685e+06	1042.28	856005	1596.61	1.29999e+06	1014.99	843431	2710.52	2.05956e+06	5325.38	4.36046e+06	1089.45	596205
157	1461.6	1.22777e+06	1018.9	856949	1854.88	1.48374e+06	1012.11	824554	2499.84	2.00795e+06	3279.83	2.65387e+06	1042.97	857109	1592.24	1.29328e+06	1014.98	843278	2742.74	2.08452e+06	5293.47	4.32889e+06	1083.77	593919
158	1462.06	1.22817e+06	1018.6	856780	1858.16	1.48678e+06	1011.99	825590	2502.91	2.01315e+06	3273.22	2.65203e+06	1042.68	857078	1579.32	1.2779e+06	1015.16	844058	2793.68	2.13117e+06	5307.51	4.33642e+06	1087.87	596618
159	1461.48	1.22756e+06	1018.77	856810	1863.54	1.48993e+06	1012.28	826232	2505.78	2.01743e+06	3268.52	2.64981e+06	1042.93	857286	1564.3	1.26294e+06	1015.31	843646	2822.69	2.15715e+06	5287.16	4.31508e+06	1086.5	595172
160	1461.85	1.22809e+06	1018.62	856844	1861.65	1.48918e+06	1011.82	826366	2497.53	2.01338e+06	3265.02	2.64956e+06	1043.82	858626	1557.27	1.25704e+06	1015.04	844308	2836.36	2.17631e+06	5258.63	4.29578e+06	1090.04	595306
161	1461.86	1.22805e+06	1018.65	856807	1868.51	1.4954e+06	1011.07	825899	2478.26	1.99952e+06	3255.62	2.64347e+06	1043.92	859252	1551.92	1.2567e+06	1015.08	844602	2838.09	2.18137e+06	5234.09	4.27762e+06	1087.6	593072
162	1462.61	1.22868e+06	1018.82	856961	1870.35	1.4959e+06	1011.03	825222	2471.02	1.99363e+06	3248.88	2.63643e+06	1044.74	860206	1535.87	1.24299e+06	1014.65	844468	2785.69	2.1527e+06	5163.36	4.21892e+06	1095.39	594765
163	1463.03	1.22913e+06	1018.58	856879	1852.16	1.48168e+06	1011.08	824676	2478.72	1.9984e+06	3252.29	2.63721e+06	1044.4	860087	1529.99	1.23609e+06	1014.64	844223	2764.82	2.14405e+06	5142.46	4.19883e+06	1099.57	594836
164	1462.21	1.22832e+06	1017.99	856320	1849.5	1.47941e+06	1011.7	824411	2489.81	2.00653e+06	3255.05	2.63819e+06	1044.94	860430	1523.14	1.23051e+06	1014.59	843839	2735.39	2.12937e+06	5106.63	4.16399e+06	1107.57	597928
165	1462.73	1.22876e+06	1018.24	856538	1844.4	1.47443e+06	1011.34	823758	2493.22	2.00997e+06	3260.25	2.64244e+06	1045.45	860606	1533.94	1.23975e+06	1014.93	844227	2734.69	2.13569e+06	5101.27	4.15649e+06	1110.82	598687
166	1462.13	1.22798e+06	1018.13	856336	1853.26	1.48102e+06	1011.2	822873	2487.54	2.00388e+06	3267.81	2.64739e+06	1045.55	860305	1522.82	1.22915e+06	1014.48	843834	2731.98	2.14136e+06	5097.47	4.15281e+06	1111.05	599319
167	1461.85	1.2278e+06	1017.97	856241	1841.7	1.47289e+06	1011.19	822411	2471.26	1.99372e+06	3251.4	2.63471e+06	1047.07	861195	1552.05	1.25581e+06	1014.63	844399	2749.31	2.15719e+06	5130.26	4.1834e+06	1099.92	593835
168	1462.62	1.22854e+06	1018.08	856416	1847.95	1.4757e+06	1011.58	822039	2469.48	1.99333e+06	3258.14	2.64212e+06	1048.05	861797	1573.44	1.27359e+06	1014.58	843707	2763.13	2.16858e+06	5169.62	4.21587e+06	1102.03	595167
169	1461.97	1.22788e+06	1018.1	856333	1847.57	1.47497e+06	1010.85	821467	2454.77	1.98176e+06	3253.54	2.64089e+06	1047.87	862198	1579.02	1.27768e+06	1014.38	843565	2746.61	2.15465e+06	5196.07	4.2432e+06	1096	591512
170	1462.6	1.22853e+06	1018.01	856353	1865.25	1.48897e+06	1011	821643	2415.49	1.95431e+06	3243.75	2.63679e+06	1048.73	862901	1600.21	1.29503e+06	1014.7	844313	2763.29	2.16971e+06	5227.06	4.27925e+06	1086.04	587202
171	1462.65	1.22855e+06	1018.14	856392	1863.13	1.48656e+06	1010.79	821840	2391.98	1.94051e+06	3239.75	2.63836e+06	1049.77	864328	1633.17	1.32193e+06	1014.65	844685	2778.24	2.18222e+06	5289.5	4.33341e+06	1078.61	584075
172	1461.97	1.22773e+06	1018.64	856596	1856.34	1.48287e+06	1011.15	822619	2380.73	1.93287e+06	3238.71	2.63926e+06	1049.66	864428	1649.79	1.33313e+06	1015.05	845260	2795.28	2.19941e+06	5326.73	4.36928e+06	1070.97	580350
173	1462.63	1.22851e+06	1018.95	857004	1865.36	1.49017e+06	1011.4	823211	2371.54	1.92775e+06	3234.18	2.6376e+06	1050.18	865170	1660.5	1.3429e+06	1014.9	844728	2779.98	2.1881e+06	5316.26	4.36104e+06	1068.9	580654
174	1462.2	1.2282e+06	1017.94	856111	1859.3	1.48607e+06	1010.51	823229	2366.9	1.92629e+06	3222.6	2.62654e+06	1050.54	864788	1648.31	1.33104e+06	1015.04	844229	2751.46	2.16997e+06	5299.5	4.34242e+06	1071.95	582492
175	1461.68	1.22752e+06	1017.92	855857	1853.6	1.48411e+06	1010.85	824133	2364.44	1.92569e+06	3216.68	2.62162e+06	1050.8	864931	1645.96	1.32859e+06	1015.15	843894	2741.94	2.16247e+06	5287.12	4.32989e+06	1070.91	581412
176	1462.28	1.22822e+06	1017.88	855967	1857.1	1.48567e+06	1010.88	823760	2386.38	1.94368e+06	3215.68	2.61989e+06	1051.02	864948	1613.51	1.30057e+06	1014.98	842589	2688.8	2.12291e+06	5235.46	4.27875e+06	1086.45	590446
177	1461.81	1.22757e+06	1018	855890	1852.09	1.48236e+06	1010.68	823630	2396.71	1.95336e+06	3210.56	2.61662e+06	1051.51	865339	1614.65	1.30239e+06	1014.97	842782	2659.17	2.09919e+06	5216.28	4.25613e+06	1088.84	592397
178	1461.58	1.22753e+06	1018.36	856387	1857.65	1.48822e+06	1010.56	822956	2389.4	1.94815e+06	3206.63	2.61546e+06	1051.86	866773	1597.66	1.28743e+06	1014.71	842600	2635.79	2.08168e+06	5209.96	4.2524e+06	1092.21	594816
179	1461.8	1.2277e+06	1018.05	856106	1858.67	1.4882e+06	1010.55	822511	2395.16	1.95232e+06	3202.37	2.61423e+06	1053.34	868260	1610.74	1.30232e+06	1014.61	842517	2663.89	2.10164e+06	5282.27	4.30724e+06	1087.02	596228
180	1462.3	1.22813e+06	1018.47	856434	1853.64	1.48412e+06	1010.37	822449	2399	1.95754e+06	3203.12	2.61708e+06	1053.89	869469	1634.66	1.32363e+06	1014.95	844203	2722.96	2.15189e+06	5328.56	4.35065e+06	1080.96	593773
181	1462.76	1.22844e+06	1018.6	856496	1859.05	1.48858e+06	1010.71	823579	2394.15	1.95549e+06	3195.25	2.61152e+06	1054.34	869629	1650.23	1.33637e+06	1015.11	844810	2766.41	2.19502e+06	5403.84	4.41466e+06	1077.01	593302
182	1461.59	1.22738e+06	1018.75	856509	1854.23	1.48372e+06	1010.6	823509	2405.61	1.96705e+06	3200.9	2.61609e+06	1054.17	869288	1670.17	1.35333e+06	1015.55	845833	2855.29	2.26659e+06	5468.94	4.46633e+06	1076.87	594559
183	1462.84	1.22887e+06	1018.64	856727	1859.82	1.49017e+06	1010.77	823639	2406.2	1.96871e+06	3197.56	2.61227e+06	1055.1	868942	1696.13	1.37538e+06	1015.9	845924	2934.68	2.32734e+06	5568.81	4.55041e+06	1087.51	602368
184	1462.41	1.2283e+06	1018.31	856272	1856.98	1.48653e+06	1011.27	824395	2428.08	1.98652e+06	3205.92	2.615e+06	1054.5	867030	1688.49	1.36698e+06	1016.08	845692	2949.77	2.33217e+06	5555.47	4.53666e+06	1096.1	607461
185	1462.88	1.2288e+06	1017.64	855745	1855.65	1.48478e+06	1010.88	823977	2434.7	1.98992e+06	3196.27	2.60343e+06	1054.88	865940	1676.77	1.36209e+06	1015.89	844709	2902.08	2.28145e+06	5504.08	4.49418e+06	1100.31	610186
186	1462.09	1.22787e+06	1017.71	855659	1851.08	1.48134e+06	1010.9	824405	2436.41	1.9923e+06	3190.65	2.59641e+06	1055.7	865592	1656.83	1.34523e+06	1015.66	842833	2840.68	2.21886e+06	5462.76	4.45387e+06	1107.26	612710
187	1462.74	1.2286e+06	1017.93	856055	1850.68	1.47999e+06	1010.57	824550	2439.45	1.9941e+06	3184.02	2.5885e+06	1056.31	864923	1648.89	1.33969e+06	1015.64	840359	2796.48	2.18191e+06	5440.4	4.42887e+06	1116.9	617345
188	1462.58	1.22836e+06	1017.82	855981	1853.44	1.48081e+06	1010.73	825053	2434.71	1.98987e+06	3174.65	2.58016e+06	1056.21	864532	1642.43	1.33614e+06	1015.47	839309	2761.4	2.14779e+06	5404.52	4.39081e+06	1115.76	616322
189	1462.49	1.22838e+06	1017.41	855794	1848.85	1.47833e+06	1010.66	825896	2429.81	1.98721e+06	3176	2.5818e+06	1055.99	864394	1650.18	1.34297e+06	1015.65	839509	2755.09	2.14489e+06	5383.26	4.37118e+06	1102.02	606623
190	1462.89	1.22884e+06	1017.27	855814	1845.04	1.47497e+06	1010.68	826559	2431.71	1.98995e+06	3179.35	2.58525e+06	1056.43	865052	1658.1	1.34828e+06	1015.65	839777	2803.96	2.18851e+06	5419.12	4.39953e+06	1095.73	604476
191	1462.2	1.22796e+06	1017.78	855928	1844.48	1.47318e+06	1010.82	827170	2460.63	2.0117e+06	3201.43	2.60287e+06	1057.38	865604	1675.12	1.36204e+06	1015.52	839009	2859	2.23577e+06	5464.15	4.42402e+06	1090.7	603949
192	1462.53	1.22825e+06	1017.7	855909	1838.63	1.46784e+06	1010.54	827328	2494.33	2.03729e+06	3234.97	2.62866e+06	1056.94	864770	1667.35	1.35586e+06	1015.58	837942	2893.21	2.26893e+06	5479.72	4.42726e+06	1095.2	606365
193	1462.59	1.22838e+06	1017.39	855811	1835.76	1.46589e+06	1011.03	828307	2508.93	2.04828e+06	3246.54	2.639e+06	1057.37	865407	1659.68	1.3516e+06	1015.5	837369	2917.66	2.2853e+06	5487.81	4.43208e+06	1100.27	608976
194	1462.39	1.22805e+06	1017.79	856004	1840.64	1.46745e+06	1010.73	828219	2529.59	2.06082e+06	3258.27	2.65032e+06	1057.49	865819	1634.98	1.33225e+06	1015.44	835633	2891.76	2.26032e+06	5415.38	4.36398e+06	1103.71	608755
195	1462.73	1.22837e+06	1017.67	855956	1843.18	1.46936e+06	1010.52	827483	2531.29	2.05992e+06	3246.16	2.64179e+06	1057.69	866526	1639.35	1.34116e+06	1015.19	833922	2847.36	2.2235e+06	5387.72	4.33545e+06	1114.79	617702
196	1462.46	1.22818e+06	1017.54	855833	1833.86	1.46219e+06	1010.79	827607	2523.15	2.04844e+06	3230.16	2.63035e+06	1057.62	867176	1590.57	1.2959e+06	1014.86	833615	2763.81	2.15006e+06	5258.29	4.23305e+06	1129.99	624013
197	1462.52	1.22821e+06	1016.95	855341	1830.52	1.45967e+06	1010.89	826943	2510.5	2.03625e+06	3205.85	2.61353e+06	1058.15	868816	1578.42	1.28594e+06	1015	834869	2720.3	2.10811e+06	5187.31	4.17657e+06	1138.14	628008
