step	train_loss	val_loss	interval_s	total_s	avg_step_s
100	4.625	4.625	15.793	15.793	0.15793
200	4.59375	4.59375	11.7376	27.5306	0.137653
300	4.5	4.6875	11.6432	39.1738	0.130579
400	4.5	4.75	11.8255	50.9994	0.127498
500	4.34375	4.875	11.8567	62.8561	0.125712
600	4.3125	5.0625	11.8482	74.7043	0.124507
700	4.21875	5.25	11.7384	86.4427	0.12349
800	4.125	5.40625	11.8132	98.2559	0.12282
900	3.73438	5.5	11.715	109.971	0.12219
1000	4.34375	5.21875	11.7344	121.705	0.121705
