step	train_loss	val_loss	interval_s	total_s	avg_step_s
100	4.84375	4.875	21.6254	21.6254	0.216254
200	4.875	4.90625	11.868	33.4935	0.167467
300	4.8125	4.84375	12.0104	45.5039	0.15168
400	4.84375	4.90625	11.9662	57.47	0.143675
500	4.78125	4.875	11.9119	69.382	0.138764
600	4.8125	5	12.0097	81.3917	0.135653
700	4.8125	4.90625	11.9426	93.3343	0.133335
800	4.75	4.9375	11.9247	105.259	0.131574
900	4.71875	4.96875	12.0994	117.358	0.130398
1000	4.71875	4.96875	12.0688	129.427	0.129427
