idx	op	type	inputs	input_shapes	input_origins	input_dtypes	input_names	output	output_shape	output_origin	output_dtype	output_name	opts
0	mm	binary	/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0000_mm_in0.bin,/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0000_mm_in1.bin	1x32x64,64x256	ttnn,ttnn	bf16,bf16	,	/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0000_mm_out.bin	1x32x256	ttnn	bf16		ta=0,tb=0
1	add	binary	/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0001_add_in0.bin,/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0001_add_in1.bin	1x32x256,1x1x256	ttnn,ttnn	bf16,bf16	,	/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0001_add_out.bin	1x32x256	ttnn	bf16		
2	gelu	unary	/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0002_gelu_in0.bin	1x32x256	ttnn	bf16		/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0002_gelu_out.bin	1x32x256	ttnn	bf16		approx=none
3	mm	binary	/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0003_mm_in0.bin,/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0003_mm_in1.bin	1x32x256,256x64	ttnn,ttnn	bf16,bf16	,	/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0003_mm_out.bin	1x32x64	ttnn	bf16		ta=0,tb=0
4	add	binary	/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0004_add_in0.bin,/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0004_add_in1.bin	1x32x64,1x1x64	ttnn,ttnn	bf16,bf16	,	/home/howard/ttnn-perf/experiments/ffn_forward/oplog/0004_add_out.bin	1x32x64	ttnn	bf16		
