step	tensor	shape	abs_err_l2	rel_err_l2	abs_err_l1	rel_err_l1	max_diff	cos_sim	mismatch_count	mismatch_rate
step_0000	b1.bin	1x256	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
step_0000	b1_grad.bin	1x256	0.0010232033673673868	0.011331388434586778	0.007128238677978516	0.006377810050559418	0.0005779266357421875	0.9999373344381922	0	0.0
step_0000	b2.bin	1x32	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
step_0000	b2_grad.bin	1x32	0.0012672720476984978	0.00397073060440384	0.00356292724609375	0.0024451605978322343	0.0009765625	0.999993356617408	0	0.0
step_0000	input.bin	32x1024	0.0	0.0	0.0	0.0	0.0	1.0000014910068953	0	0.0
step_0000	labels_u32.bin	32	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
step_0000	linear1_out.bin	32x256	0.16948705911636353	0.0055259935062445765	10.390018463134766	0.00467144525731166	0.0078125	0.9999875275345301	0	0.0
step_0000	logits.bin	32x32	0.055649854242801666	0.006209277557564285	1.1272811889648438	0.005466601471710982	0.0078125	0.999982352240413	0	0.0
step_0000	logits_grad.bin	32x32	0.0004698740958701819	0.0026838951817460877	0.00492095947265625	0.0025268997290915454	0.0001220703125	0.9999971591211614	0	0.0
step_0000	loss.bin		0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
step_0000	relu_out.bin	32x256	0.14717860519886017	0.005450504997769134	7.484706878662109	0.004501602696113735	0.0078125	0.999987223282271	0	0.0
step_0000	softmax.bin	32x32	0.005301281809806824	0.005100410839383512	0.109375	0.0034179296348993958	0.0009765625	0.9999906598394074	0	0.0
step_0000	w1.bin	256x1024	0.0	0.0	0.0	0.0	0.0	0.9999653680565121	0	0.0
step_0000	w1_grad.bin	256x1024	0.01011587679386139	0.014247829051132633	1.088049292564392	0.007084927889010061	0.000583648681640625	0.9999005353035035	0	0.0
step_0000	w2.bin	32x256	0.0	0.0	0.0	0.0	0.0	1.0000027903152708	0	0.0
step_0000	w2_grad.bin	32x256	0.00796937383711338	0.005589515556162548	0.38197118043899536	0.0048715735584281975	0.0009765625	0.9999866549662768	0	0.0
step_0001	b1.bin	1x256	0.001862388919107616	0.11837519033637244	0.003795623779296875	0.015320184150091365	0.001857757568359375	0.9929690014886978	0	0.0
step_0001	b1_grad.bin	1x256	0.0027033179067075253	0.035078111993286254	0.013878047466278076	0.015115710639961049	0.0010986328125	0.9993876672534495	0	0.0
step_0001	b2.bin	1x32	5.0029284466290846e-05	0.008842506281322729	0.00026702880859375	0.008343265792349567	1.52587890625e-05	0.9999957065543185	0	0.0
step_0001	b2_grad.bin	1x32	0.0009296598145738244	0.0029947472776243552	0.00390625	0.0028002625246096747	0.00048828125	0.9999954920936677	0	0.0
step_0001	input.bin	32x1024	0.0	0.0	0.0	0.0	0.0	1.0000009690645069	0	0.0
step_0001	labels_u32.bin	32	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
step_0001	linear1_out.bin	32x256	0.4415788948535919	0.015553725658013483	14.621929168701172	0.007213308433818229	0.1025390625	0.9998822185658741	0	0.0
step_0001	logits.bin	32x32	0.0602203831076622	0.00925108289262991	1.3026123046875	0.008644248002673171	0.01171875	0.9999614097407852	0	0.0
step_0001	logits_grad.bin	32x32	0.0004507319536060095	0.0025853643993179083	0.006114959716796875	0.0031517148631946823	0.0001220703125	0.9999968895254202	0	0.0
step_0001	loss.bin		0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
step_0001	relu_out.bin	32x256	0.2520291209220886	0.010336177559901268	8.990478515625	0.006271605211606	0.08447265625	0.9999492455162171	0	0.0
step_0001	softmax.bin	32x32	0.005853013601154089	0.005745596272385546	0.1387939453125	0.00433714534205072	0.000732421875	0.9999897624529126	0	0.0
step_0001	w1.bin	256x1024	0.029583090916275978	0.002889636087095828	0.7958942651748657	0.0001753312061578928	0.0020751953125	0.9999659410581558	0	0.0
step_0001	w1_grad.bin	256x1024	0.025500556454062462	0.03810436178303424	1.8391729593276978	0.012934803924277696	0.0011849403381347656	0.9992808814273237	0	0.0
step_0001	w2.bin	32x256	0.00413020234555006	0.002226324710217661	0.0266876220703125	0.00018300670281668014	0.001953125	1.000000105740622	0	0.0
step_0001	w2_grad.bin	32x256	0.011327710933983326	0.008426526054115056	0.3676878809928894	0.0056481010757313405	0.0053558349609375	0.9999657902674433	0	0.0
step_0002	b1.bin	1x256	0.0026286474894732237	0.09390475840011507	0.006847381591796875	0.015972308732677947	0.002498626708984375	0.9955842732499579	0	0.0
step_0002	b1_grad.bin	1x256	0.0031704579014331102	0.05765148001776457	0.018296241760253906	0.029147243716717106	0.001312255859375	0.9983396029632191	0	0.0
step_0002	b2.bin	1x32	9.770392352947965e-05	0.008759728019712856	0.00048828125	0.007744433688163712	3.0517578125e-05	0.9999918340266938	0	0.0
step_0002	b2_grad.bin	1x32	0.0013263961300253868	0.004745426100767195	0.00603485107421875	0.00450558213715772	0.00048828125	0.999989548403765	0	0.0
step_0002	input.bin	32x1024	0.0	0.0	0.0	0.0	0.0	1.0000011734221212	0	0.0
step_0002	labels_u32.bin	32	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
step_0002	linear1_out.bin	32x256	0.6648311614990234	0.023173597378166166	19.15896224975586	0.009485342688122423	0.1552734375	0.9997341931505687	0	0.0
step_0002	logits.bin	32x32	0.05911726877093315	0.010960194797158877	1.37371826171875	0.010392859509383255	0.0078125	0.9999428458079468	0	0.0
step_0002	logits_grad.bin	32x32	0.0004501504299696535	0.002596963239021198	0.006099700927734375	0.003160941126234371	0.0001220703125	0.9999970559709139	0	0.0
step_0002	loss.bin		0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
step_0002	relu_out.bin	32x256	0.30235251784324646	0.012731900219667594	9.728153228759766	0.007476406100042493	0.1171875	0.9999203799854448	0	0.0
step_0002	softmax.bin	32x32	0.006365238223224878	0.0062896020184493185	0.1546630859375	0.004832944892221745	0.00048828125	0.9999903971039305	0	0.0
step_0002	w1.bin	256x1024	0.04100644588470459	0.004003831066209834	2.160367965698242	0.00047582336785941003	0.0037841796875	0.9999593164651345	0	0.0
step_0002	w1_grad.bin	256x1024	0.028835970908403397	0.06047704268493427	2.109574556350708	0.0206874945757323	0.001331329345703125	0.9981734685710152	0	0.0
step_0002	w2.bin	32x256	0.005061839707195759	0.0027380595431590556	0.08685892820358276	0.0005973336007177969	0.001953125	0.9999986666068436	0	0.0
step_0002	w2_grad.bin	32x256	0.01263850275427103	0.011543885156404908	0.4619581401348114	0.008219337157058457	0.005462646484375	0.9999343318420787	0	0.0
step_0003	b1.bin	1x256	0.003250804264098406	0.08419020373740621	0.010385513305664062	0.017899879023743608	0.003032684326171875	0.9964616329857566	0	0.0
step_0003	b1_grad.bin	1x256	0.0033327697310596704	0.04793822783356123	0.019344329833984375	0.02564473744926031	0.0015707015991210938	0.9988527885009367	0	0.0
step_0003	b2.bin	1x32	0.00016238247917499393	0.00988238633913955	0.00075531005859375	0.008169664961126356	6.103515625e-05	0.9999834576439569	0	0.0
step_0003	b2_grad.bin	1x32	0.0010344514157623053	0.0030470903226274566	0.004547119140625	0.003465761071824675	0.00048828125	0.999995416476862	0	0.0
step_0003	input.bin	32x1024	0.0	0.0	0.0	0.0	0.0	1.0000013365515992	0	0.0
step_0003	labels_u32.bin	32	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
step_0003	linear1_out.bin	32x256	0.8185995817184448	0.027872064534726723	25.201892852783203	0.012244715196100929	0.1630859375	0.9996136811684865	0	0.0
step_0003	logits.bin	32x32	0.0843081995844841	0.01497479409638828	2.1419143676757812	0.014919333196227031	0.01171875	0.9998904830782214	0	0.0
step_0003	logits_grad.bin	32x32	0.00036965185427106917	0.002137427204747346	0.005859375	0.0030447947588282728	0.0001220703125	0.9999979807102033	0	0.0
step_0003	loss.bin		0.015625	0.004784688995213846	0.015625	0.004784688995213846	0.015625	1.0	0	0.0
step_0003	relu_out.bin	32x256	0.38734546303749084	0.016172814659417924	12.248161315917969	0.009622893393328153	0.1298828125	0.9998704547048625	0	0.0
step_0003	softmax.bin	32x32	0.007143981754779816	0.007049501913583564	0.1705322265625	0.005328776345878233	0.000732421875	0.9999876841339675	0	0.0
step_0003	w1.bin	256x1024	0.05110100656747818	0.004985161640549184	3.4646999835968018	0.0007627187026371372	0.0052490234375	0.9999552017224359	0	0.0
step_0003	w1_grad.bin	256x1024	0.032199785113334656	0.05956486292984385	2.488490104675293	0.023237065945413533	0.00156402587890625	0.9982258042619087	0	0.0
step_0003	w2.bin	32x256	0.006693176459521055	0.003624380207349638	0.1821727752685547	0.001254303406763215	0.0030517578125	0.9999960881379099	0	0.0
step_0003	w2_grad.bin	32x256	0.017094947397708893	0.013511431917040177	0.5743017792701721	0.010601061447452891	0.006622314453125	0.9999114763470454	0	0.0
step_0004	b1.bin	1x256	0.003762913402169943	0.07906092492798354	0.013430595397949219	0.019157103758209292	0.0034499168395996094	0.9968846469296414	0	0.0
step_0004	b1_grad.bin	1x256	0.004434371367096901	0.05008409603292227	0.027139604091644287	0.027016489583547482	0.0014801025390625	0.9987454858378039	0	0.0
step_0004	b2.bin	1x32	0.0001925572141772136	0.00888342008505556	0.00090789794921875	0.0074988972209349735	6.103515625e-05	0.9999871854663918	0	0.0
step_0004	b2_grad.bin	1x32	0.0009689030703157187	0.00284765811026595	0.0030517578125	0.002182453077257278	0.00048828125	0.9999959650953238	0	0.0
step_0004	input.bin	32x1024	0.0	0.0	0.0	0.0	0.0	1.0000008737672594	0	0.0
step_0004	labels_u32.bin	32	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
step_0004	linear1_out.bin	32x256	0.9286532402038574	0.030110991208237167	29.545833587646484	0.013965497272960058	0.1923828125	0.9995500396288263	0	0.0
step_0004	logits.bin	32x32	0.10602100938558578	0.015625985004075988	2.5330047607421875	0.014864097594110112	0.013671875	0.9998993487990118	0	0.0
step_0004	logits_grad.bin	32x32	0.0004823480558115989	0.0028048425924763944	0.0061435699462890625	0.0032102200809664317	0.0001220703125	0.9999963201926259	0	0.0
step_0004	loss.bin		0.015625	0.004975124378107869	0.015625	0.004975124378107869	0.015625	1.0	0	0.0
step_0004	relu_out.bin	32x256	0.6111716628074646	0.024176699203065005	15.603553771972656	0.01215905243825864	0.19140625	0.9997100766871327	0	0.0
step_0004	softmax.bin	32x32	0.006307031959295273	0.006179785345411996	0.14599609375	0.004562369227658648	0.000732421875	0.9999877790260691	0	0.0
step_0004	w1.bin	256x1024	0.06106363981962204	0.005949697695399727	4.725768566131592	0.0010395299357517883	0.0061187744140625	0.999950535174612	0	0.0
step_0004	w1_grad.bin	256x1024	0.04188994690775871	0.06701376625424042	3.1727824211120605	0.02604510115249332	0.0014495849609375	0.997754944541453	0	0.0
step_0004	w2.bin	32x256	0.00806456059217453	0.004362897431425298	0.22407063841819763	0.0015429966934287773	0.004638671875	0.9999934764570143	0	0.0
step_0004	w2_grad.bin	32x256	0.03184852376580238	0.02263596512668238	0.7174278497695923	0.012372768287850482	0.02099609375	0.9997486503946679	0	0.0
step_0005	b1.bin	1x256	0.004031043965369463	0.0729240840865777	0.016128063201904297	0.020112075332103935	0.003604888916015625	0.9973591825258761	0	0.0
step_0005	b1_grad.bin	1x256	0.0041838595643639565	0.048399219869155234	0.02303445339202881	0.023983154560481834	0.00197601318359375	0.9988302065357278	0	0.0
step_0005	b2.bin	1x32	0.00025804954930208623	0.00961750520272856	0.001220703125	0.008183515331249641	6.103515625e-05	0.9999858182044656	0	0.0
step_0005	b2_grad.bin	1x32	0.0015632627764716744	0.005096500841467117	0.00439453125	0.003610289324572073	0.0009765625	0.9999923437199661	0	0.0
step_0005	input.bin	32x1024	0.0	0.0	0.0	0.0	0.0	1.0000011677253813	0	0.0
step_0005	labels_u32.bin	32	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
step_0005	linear1_out.bin	32x256	1.0957496166229248	0.03055979739800715	38.4588623046875	0.015633998835048617	0.2421875	0.9995385786855384	0	0.0
step_0005	logits.bin	32x32	0.13312660157680511	0.015394152543567343	3.358734130859375	0.015617339633112565	0.015625	0.9999164791563518	0	0.0
step_0005	logits_grad.bin	32x32	0.00046853660023771226	0.0027392684823930283	0.0058917999267578125	0.0030969529752387895	0.0001220703125	0.9999965501112485	0	0.0
step_0005	loss.bin		0.015625	0.005154639175256031	0.015625	0.005154639175256031	0.015625	1.0	0	0.0
step_0005	relu_out.bin	32x256	0.6056438684463501	0.02074923248600362	18.611183166503906	0.012740805642620385	0.134765625	0.9997903876918042	0	0.0
step_0005	softmax.bin	32x32	0.006677424535155296	0.00643804604544491	0.14666748046875	0.004583568583766814	0.0009765625	0.9999858238029521	0	0.0
step_0005	w1.bin	256x1024	0.07054571062326431	0.00686290980750953	5.91656494140625	0.0013002239448196527	0.00732421875	0.9999454755896084	0	0.0
step_0005	w1_grad.bin	256x1024	0.04031764343380928	0.06089218680364753	3.1619420051574707	0.024583951873730844	0.00211334228515625	0.9981438944000095	0	0.0
step_0005	w2.bin	32x256	0.009087435901165009	0.004903829861387222	0.27281832695007324	0.0018764858617226464	0.0054931640625	0.9999910154403989	0	0.0
step_0005	w2_grad.bin	32x256	0.028275959193706512	0.01839983665597609	0.7962369918823242	0.013703191287729967	0.0133056640625	0.999837138961107	0	0.0
step_0006	b1.bin	1x256	0.004141393583267927	0.06681686981240341	0.01838397979736328	0.020666136353379813	0.00363922119140625	0.9977850005566015	0	0.0
step_0006	b1_grad.bin	1x256	0.0032228846102952957	0.039563739795509215	0.018912434577941895	0.02102148776622841	0.0012969970703125	0.999220867059231	0	0.0
step_0006	b2.bin	1x32	0.00025635218480601907	0.008014228836828211	0.00124359130859375	0.006968492155063341	9.1552734375e-05	0.9999914436451793	0	0.0
step_0006	b2_grad.bin	1x32	0.0015845648013055325	0.006420037188349954	0.0050048828125	0.004286461055929418	0.0009765625	0.9999863300283899	0	0.0
step_0006	input.bin	32x1024	0.0	0.0	0.0	0.0	0.0	1.0000019189970337	0	0.0
step_0006	labels_u32.bin	32	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
step_0006	linear1_out.bin	32x256	1.2711670398712158	0.03459896009626971	44.07587432861328	0.017212317340275913	0.244140625	0.9994107429636304	0	0.0
step_0006	logits.bin	32x32	0.16764280200004578	0.016488603188570185	4.171844482421875	0.016079981744269143	0.01953125	0.999912172252643	0	0.0
step_0006	logits_grad.bin	32x32	0.0005394864128902555	0.00316094835926089	0.00751495361328125	0.003959767157648907	0.0001220703125	0.9999956512072563	0	0.0
step_0006	loss.bin		0.015625	0.005235602094239083	0.015625	0.005235602094239083	0.015625	1.0	0	0.0
step_0006	relu_out.bin	32x256	0.857292890548706	0.02858731306906653	22.157014846801758	0.014745326513741493	0.2269287109375	0.9995987241918879	0	0.0
step_0006	softmax.bin	32x32	0.008911969140172005	0.008466189169831315	0.18994140625	0.005935578375573917	0.001953125	0.9999778093110482	0	0.0
step_0006	w1.bin	256x1024	0.07904355227947235	0.007675824751456707	7.116637229919434	0.0015621889578994177	0.0081787109375	0.9999399022527435	0	0.0
step_0006	w1_grad.bin	256x1024	0.033771269023418427	0.056206811665261834	2.449700355529785	0.021396114467071934	0.002162933349609375	0.9984201600912179	0	0.0
step_0006	w2.bin	32x256	0.01005520112812519	0.0054034105460885615	0.30358824133872986	0.002083588666784816	0.0064697265625	0.9999884162972276	0	0.0
step_0006	w2_grad.bin	32x256	0.03532823547720909	0.027998905074572186	0.9130129814147949	0.016155436888085416	0.0198974609375	0.9996121334381732	0	0.0
step_0007	b1.bin	1x256	0.004287579096853733	0.06274665911902652	0.020756244659423828	0.021404108326037893	0.00372314453125	0.9980526541096186	0	0.0
step_0007	b1_grad.bin	1x256	0.004053964279592037	0.04789885342290872	0.02583712339401245	0.02709261420864538	0.0013370513916015625	0.998853412675858	0	0.0
step_0007	b2.bin	1x32	0.00028556774486787617	0.0076915652025238744	0.00139617919921875	0.006725962952040518	9.1552734375e-05	0.9999925229641208	0	0.0
step_0007	b2_grad.bin	1x32	0.0017562860157340765	0.00665735578321795	0.0052490234375	0.004788152107339321	0.0009765625	0.9999900377152166	0	0.0
step_0007	input.bin	32x1024	0.0	0.0	0.0	0.0	0.0	1.0000012211387972	0	0.0
step_0007	labels_u32.bin	32	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
step_0007	linear1_out.bin	32x256	1.2637650966644287	0.031308146658411265	47.150245666503906	0.01713206515346324	0.25146484375	0.9995213088619395	0	0.0
step_0007	logits.bin	32x32	0.20527812838554382	0.0157864306741921	5.0905609130859375	0.015437883083839437	0.0234375	0.9999364271938619	0	0.0
step_0007	logits_grad.bin	32x32	0.0004987251595593989	0.0029423769669004946	0.007198333740234375	0.00382428746805924	0.0001220703125	0.999996039534497	0	0.0
step_0007	loss.bin		0.015625	0.005464480874315028	0.015625	0.005464480874315028	0.015625	1.0	0	0.0
step_0007	relu_out.bin	32x256	0.9697532653808594	0.028422103936697862	25.396034240722656	0.014875102387546005	0.25146484375	0.999605642976182	0	0.0
step_0007	softmax.bin	32x32	0.010315212421119213	0.009476730547866812	0.20172119140625	0.006303865385293772	0.00244140625	0.9999720178863176	0	0.0
step_0007	w1.bin	256x1024	0.08730914443731308	0.008461044831711765	8.328499794006348	0.001825774760969248	0.008544921875	0.9999342651198242	0	0.0
step_0007	w1_grad.bin	256x1024	0.04216455668210983	0.06777957243711576	3.5083861351013184	0.028653288779666296	0.001434326171875	0.9977015933565241	0	0.0
step_0007	w2.bin	32x256	0.010634124279022217	0.005682536996956229	0.35062098503112793	0.00239863871600057	0.006591796875	0.9999867512322406	0	0.0
step_0007	w2_grad.bin	32x256	0.04902200028300285	0.028744361062927933	1.0461957454681396	0.016349342214450436	0.0242919921875	0.9995918828666729	0	0.0
step_0008	b1.bin	1x256	0.004390514921396971	0.0588462854883829	0.022604763507843018	0.021623137021718253	0.0037841796875	0.9982913580318048	0	0.0
step_0008	b1_grad.bin	1x256	0.0046617998741567135	0.0514485555705833	0.02540898323059082	0.02360001612114548	0.0021209716796875	0.9986756102165399	0	0.0
step_0008	b2.bin	1x32	0.0003652560117188841	0.008655951164279781	0.0016326904296875	0.006910805399441135	0.0001220703125	0.9999845272903499	0	0.0
