step	train_loss	val_loss	interval_s	total_s	avg_step_s
100	3.28125	3.57812	11.7108	11.7108	0.117108
200	2.60938	4.46875	11.0857	22.7965	0.113983
300	1.48438	5.46875	11.0544	33.8509	0.112836
400	0.84375	7	11.0172	44.8681	0.11217
500	0.324219	8.0625	11.0412	55.9094	0.111819
600	0.138672	8.625	11.0348	66.9441	0.111574
700	0.15332	9.125	11.0853	78.0295	0.111471
800	0.0510254	9.5	11.0424	89.0718	0.11134
900	0.0639648	9.0625	11.0582	100.13	0.111256
1000	0.0147705	9.5625	11.0681	111.198	0.111198
