tensor	shape	abs_err_l2	rel_err_l2	abs_err_l1	rel_err_l1	max_diff	cos_sim	mismatch_count	mismatch_rate
attn_out.bin	32x32x128	0.6743261218070984	0.010967519124385386	163.13595581054688	0.010312915129618289	0.03125	0.999973015323767	0	0.0
attn_proj.bin	32x32x128	0.20168450474739075	0.013981504936000458	52.203460693359375	0.013581206996095704	0.005859375	0.9999684763001376	0	0.0
attn_scores.bin	128x32x32	0.9968492388725281	0.010208046434965772	254.97048950195312	0.009494630986960972	0.03125	0.9999666281733685	0	0.0
attn_scores_masked.bin	128x32x32	0.7263759970664978	2.887964563448899e-12	133.00381469726562	2.09862861103174e-12	0.03125	1.0000601457934155	0	0.0
attn_weights.bin	128x32x32	0.16262127459049225	0.0070022660608107315	19.325469970703125	0.004718127255064809	0.0078125	0.9999854452416522	0	0.0
ffn_gelu.bin	32x32x512	1.1495530605316162	0.010072857791033975	590.5321044921875	0.009677399285923474	0.015625	0.9999158803120767	0	0.0
ffn_w1_bias.bin	1x1x512	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ffn_w1_bias_grad.bin	1x1x512	4.100080332136713e-05	0.00589660346548084	0.0006380975246429443	0.005159960958639545	7.62939453125e-06	0.9999905929078295	0	0.0
ffn_w1_out.bin	32x32x512	1.956196904182434	0.009287935669065668	1078.5206298828125	0.008894065352103494	0.015625	0.9999146107091443	0	0.0
ffn_w1_weight.bin	512x128	0.0	0.0	0.0	0.0	0.0	1.000004496071152	0	0.0
ffn_w1_weight_grad.bin	512x128	0.00048062598216347396	0.011101815809126317	0.07791146636009216	0.010630595399059863	1.52587890625e-05	0.9999785633198961	0	0.0
ffn_w2_bias.bin	1x1x128	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ffn_w2_bias_grad.bin	1x1x128	8.378242637263611e-05	0.006470643874118624	0.0006883442401885986	0.0065698507084213245	1.52587890625e-05	0.9999889738864178	0	0.0
ffn_w2_out.bin	32x32x128	0.3220708668231964	0.00980665163795632	88.32168579101562	0.009571444925996014	0.005859375	0.9999556178903795	0	0.0
ffn_w2_weight.bin	128x512	0.0	0.0	0.0	0.0	0.0	1.0000038265295264	0	0.0
