step	loss
0	3.65625
1	3.5
2	3.359375
3	3.265625
4	3.140625
5	3.03125
6	2.984375
7	2.859375
8	2.6875
9	2.53125
10	2.546875
11	2.390625
12	2.203125
13	2.125
14	2.125
15	1.96875
16	1.8359375
17	1.65625
18	1.859375
19	1.671875
20	1.5234375
21	1.6171875
22	1.6015625
23	1.5390625
24	1.3515625
25	1.1953125
26	1.453125
27	1.265625
28	1.0859375
29	1.2578125
30	1.171875
31	1.2890625
32	0.9453125
33	0.87890625
34	1.140625
35	0.953125
36	0.72265625
37	0.98046875
38	0.87890625
39	1.0703125
40	0.68359375
41	0.65234375
42	0.921875
43	0.69140625
44	0.51171875
45	0.7890625
46	0.6640625
47	0.90234375
48	0.51171875
49	0.5078125
50	0.75390625
51	0.5234375
52	0.376953125
53	0.6484375
54	0.51171875
55	0.78515625
56	0.384765625
57	0.4140625
58	0.62890625
59	0.40625
60	0.283203125
61	0.5390625
62	0.421875
63	0.6796875
64	0.296875
65	0.34765625
66	0.51953125
67	0.31640625
68	0.2236328125
69	0.453125
70	0.345703125
71	0.5859375
72	0.2314453125
73	0.29296875
74	0.43359375
75	0.259765625
76	0.1796875
77	0.37890625
78	0.29296875
79	0.50390625
80	0.185546875
81	0.25
82	0.35546875
83	0.2119140625
84	0.1513671875
85	0.32421875
86	0.251953125
87	0.423828125
88	0.150390625
89	0.2138671875
90	0.294921875
91	0.1787109375
92	0.1259765625
93	0.2734375
94	0.216796875
95	0.357421875
96	0.12353515625
97	0.1826171875
98	0.2431640625
99	0.1513671875
