step	train_loss	val_loss	interval_s	total_s	avg_step_s
100	2.1796276569366455	5.713308811187744	390.706280	390.706280	3.907063
200	0.04216373711824417	7.110854148864746	391.363111	782.069391	3.910347
300	0.028240414336323738	6.803586959838867	392.973523	1175.042915	3.916810
400	0.02246522158384323	6.795348167419434	391.359109	1566.402024	3.916005
500	0.020024515688419342	6.741706371307373	391.633599	1958.035622	3.916071
600	0.017433594912290573	6.727166175842285	394.592882	2352.628504	3.921048
700	0.01505158469080925	6.648833274841309	390.088931	2742.717435	3.918168
