idx	op	type	inputs	input_shapes	input_origins	input_dtypes	input_names	output	output_shape	output_origin	output_dtype	output_name	opts
0	ffn_w1_matmul	binary	/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0000_ffn_w1_matmul_in0.bin,/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0000_ffn_w1_matmul_in1.bin	1x32x64,64x256	torch_fp32,torch_fp32	f32,f32	ffn_input,w1	/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0000_ffn_w1_matmul_out.bin	1x32x256	torch_fp32	f32	ffn_w1_matmul	
1	ffn_w1_bias	binary	/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0001_ffn_w1_bias_in0.bin,/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0001_ffn_w1_bias_in1.bin	1x32x256,1x1x256	torch_fp32,torch_fp32	f32,f32	ffn_w1_matmul,b1	/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0001_ffn_w1_bias_out.bin	1x32x256	torch_fp32	f32	ffn_w1_bias	
2	ffn_gelu	unary	/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0002_ffn_gelu_in0.bin	1x32x256	torch_fp32	f32	ffn_w1_bias	/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0002_ffn_gelu_out.bin	1x32x256	torch_fp32	f32	ffn_gelu	
3	ffn_w2_matmul	binary	/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0003_ffn_w2_matmul_in0.bin,/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0003_ffn_w2_matmul_in1.bin	1x32x256,256x64	torch_fp32,torch_fp32	f32,f32	ffn_gelu,w2	/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0003_ffn_w2_matmul_out.bin	1x32x64	torch_fp32	f32	ffn_w2_matmul	
4	ffn_w2_bias	binary	/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0004_ffn_w2_bias_in0.bin,/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0004_ffn_w2_bias_in1.bin	1x32x64,1x1x64	torch_fp32,torch_fp32	f32,f32	ffn_w2_matmul,b2	/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0004_ffn_w2_bias_out.bin	1x32x64	torch_fp32	f32	ffn_w2_bias	
5	loss	unary	/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0005_loss_in0.bin	1x32x64	torch_fp32	f32	ffn_w2_bias	/home/howard/ttnn-perf/experiments/ffn_forward/oplog_torch/0005_loss_out.bin		torch_fp32	f32	loss	
