step	train_loss	val_loss	interval_s	total_s	avg_step_s
100	4.15625	24.625	12.1508	12.1508	0.121508
200	28	4	11.5945	23.7453	0.118726
300	49.25	4.5625	11.52	35.2652	0.117551
400	6.15625	67.5	11.5278	46.7931	0.116983
500	235	15	11.5655	58.3586	0.116717
600	177	13.4375	11.6318	69.9904	0.116651
700	24.625	454	11.5737	81.5641	0.11652
800	245	22.875	11.6054	93.1695	0.116462
900	1.32923e+36	1.32923e+36	11.5975	104.767	0.116408
1000	1.32923e+36	1.32923e+36	11.5215	116.289	0.116289
