step,train_loss,val_loss,interval_s,total_s
500,4.8125,4.90625,46.8924,46.8924
1000,4.8125,4.84375,45.9819,92.8744
1500,4.84375,4.90625,45.9865,138.861
2000,4.84375,4.84375,45.7068,184.568
2500,4.84375,4.875,46.2061,230.774
3000,4.875,4.875,46.0456,276.819
3500,4.875,4.875,45.936,322.755
4000,4.875,4.875,46.0907,368.846
4500,4.875,4.875,45.6775,414.524
5000,4.84375,4.84375,46.2967,460.82
