step,train_loss,val_loss,interval_s,total_s
500,4.8125,4.84375,40.5296,40.5296
1000,4.8125,4.8125,39.8043,80.3339
1500,4.84375,4.90625,39.89,120.224
2000,4.84375,4.875,39.9481,160.172
2500,4.84375,4.84375,39.8291,200.001
3000,4.78125,4.84375,39.8846,239.886
3500,4.8125,4.84375,39.7298,279.615
4000,4.78125,4.84375,39.9602,319.576
4500,4.84375,4.875,39.7483,359.324
5000,4.78125,4.84375,39.7319,399.056
