step	train_loss	val_loss	interval_s	total_s	avg_step_s
7000	4.3125	4.375	11.7675	828.858	0.118408
7100	4.34375	4.3125	11.7831	840.642	0.1184
7200	4.3125	4.3125	11.8289	852.47	0.118399
7300	4.3125	4.40625	11.7662	864.237	0.118389
7400	4.28125	4.3125	11.8234	876.06	0.118387
7500	4.25	4.28125	11.7614	887.822	0.118376
7600	4.21875	4.25	11.8247	899.646	0.118375
7700	4.15625	4.28125	11.7072	911.353	0.118358
7800	4.21875	4.21875	11.8649	923.218	0.118361
7900	4.4375	4.5625	11.7408	934.959	0.118349
8000	4.59375	4.65625	11.7799	946.739	0.118342
8100	4.59375	4.65625	11.7711	958.51	0.118335
8200	4.65625	4.6875	11.8377	970.348	0.118335
8300	4.625	4.6875	11.8153	982.163	0.118333
8400	4.53125	4.625	11.8507	994.014	0.118335
8500	4.53125	4.53125	11.8362	1005.85	0.118335
